morphospecies,color,body_length,wingspan,species,location,time,family,subfamily,guilds,,color index,,,,
clear wing 2.0,transparent,16.6,46.4,Ithomia cleora,ar,evening,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
bohemian,"brown, orange",27,74.9,Anartia amathea,ar,evening,Nymphalidae,Nymphalinae,"Phytophagous, Nectar Feeder",,Colorful,,,,
unicorn,"black, white, colourful",25.7,55.1,Calliicore texa maimuna,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
orange marmalade,orange,11.3,36.6,Thisbe irenea,ar,evening,Riodinidae,Riodininae,Nectar Feeder,,Colorful,,,,
zebra,"black, white",19.9,48.1,Diaethria phlogea,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
zebra,"black, white",16.4,38.8,Diaethria phlogea,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
doja cat,"white, brown",15.5,53.4,Pyrrhogyra otolais ssp 0480,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Dull,,,,
baddie ,"blue, black",26,83.1,Diaethria phlogea,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
zebra,"black, white",18.4,47.8,Diaethria phlogea,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
zebra,"black, white",16.5,43.6,Diaethria phlogea,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
zebra,"black, white",18,52.1,Diaethria phlogea,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
cottage core,brown,15.1,56.7,Hermeuptychia hermes,ar,evening,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
clear wing 2.0,transparent,19.3,45.8,Ithomia cleora,ar,evening,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
unicorn,"black, white, colourful",24.3,59.3,Calliicore texa maimuna,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
zebra,"black, white",17.5,49.6,Diaethria phlogea,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
zebra,"black, white",18.4,49.7,Diaethria phlogea,ar,evening,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
